#,,,,Gain,,,,Check,,,,Average,,,,Saturation,,,
#Day,Time,Address,State,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm
2018-06-22,15:08:10,78:61:7c:34:25:97,ST,4,6,4,6,0,0,0,0,4095,3079,4095,0,600,598,600,0
2018-06-22,15:08:10,78:61:7c:34:25:97,1,1,2,1,10,1,1,1,0,1450,2442,1615,0,0,0,0,0
2018-06-22,15:08:11,78:61:7c:34:25:97,2,1,2,1,14,1,1,1,0,1453,2443,1611,0,0,0,0,0
2018-06-22,15:08:12,78:61:7c:34:25:97,3,1,2,1,18,1,1,1,0,1455,2442,1608,0,0,0,0,0
2018-06-22,15:08:12,78:61:7c:34:25:97,RE,1,2,1,22,1,1,1,0,1457,2441,1605,0,0,0,0,0
2018-06-22,15:09:42,78:61:7c:34:25:97,ST,4,6,4,6,1,1,1,1,1061,638,830,548,0,0,0,0
2018-06-22,15:09:43,78:61:7c:34:25:97,OK,7,19,9,22,1,1,1,1,1831,1782,1833,1854,0,0,0,0
2018-06-22,15:11:59,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,1,246,0,411,494,0,0,0,0
2018-06-22,15:12:00,78:61:7c:34:25:97,1,4,10,4,6,1,0,1,1,247,0,411,493,0,0,0,0
2018-06-22,15:12:01,78:61:7c:34:25:97,2,4,14,4,6,1,0,1,1,246,0,411,493,0,0,0,0
2018-06-22,15:12:02,78:61:7c:34:25:97,3,4,18,4,6,1,0,1,1,246,1,409,491,0,0,0,0
2018-06-22,15:12:03,78:61:7c:34:25:97,RE,4,22,4,6,1,0,1,1,247,0,409,491,0,0,0,0
2018-06-22,15:14:49,78:61:7c:34:25:97,ST,4,6,4,6,0,0,0,0,1,0,1,0,0,0,0,0
2018-06-22,15:14:50,78:61:7c:34:25:97,1,8,10,8,10,0,0,0,0,4,0,3,0,0,0,0,0
2018-06-22,15:14:51,78:61:7c:34:25:97,2,12,14,12,14,0,0,0,0,5,0,4,0,0,0,0,0
2018-06-22,15:14:52,78:61:7c:34:25:97,GE,16,18,16,18,-1,0,-1,0,7,0,6,1,0,0,0,0
2018-06-22,15:19:54,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1544,3495,1353,3507,0,600,0,600
2018-06-22,15:19:54,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1543,2652,1353,2641,0,1,0,1
2018-06-22,15:19:55,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1912,2380,2000,2347,0,0,0,0
2018-06-22,15:20:25,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1540,3494,1351,3506,0,600,0,600
2018-06-22,15:20:25,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1540,2651,1351,2639,0,1,0,1
2018-06-22,15:20:26,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1908,2379,1997,2346,0,0,0,0
2018-06-22,15:32:46,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1522,3496,1339,3509,0,600,0,600
2018-06-22,15:32:47,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1522,2651,1339,2641,0,1,0,1
2018-06-22,15:32:47,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1887,2375,1979,2341,0,0,0,0
2018-06-22,15:37:10,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1524,3497,1341,3511,0,600,0,600
2018-06-22,15:37:11,78:61:7c:34:25:97,1,4,2,4,2,1,0,1,0,1524,2933,1341,2932,0,201,0,201
2018-06-22,15:37:12,78:61:7c:34:25:97,2,4,1,4,1,1,1,1,1,1523,2377,1341,2343,0,0,0,0
2018-06-22,15:37:12,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1889,2377,1982,2343,0,0,0,0
2018-06-22,15:39:51,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1522,3501,1339,3515,0,600,0,600
2018-06-22,15:39:51,78:61:7c:34:25:97,1,4,2,4,2,1,0,1,0,1522,2937,1339,2935,0,201,0,201
2018-06-22,15:39:52,78:61:7c:34:25:97,2,4,1,4,1,1,1,1,1,1521,2377,1339,2343,0,0,0,0
2018-06-22,15:39:53,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1886,2377,1979,2342,0,0,0,0
2018-06-22,15:50:37,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1520,3528,1338,3539,0,600,0,600
2018-06-22,15:50:38,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1520,2678,1338,2666,0,1,0,1
2018-06-22,15:50:39,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1885,2377,1977,2342,0,0,0,0
2018-06-22,15:51:51,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1520,3528,1337,3539,0,600,0,600
2018-06-22,15:51:52,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1520,2677,1338,2665,0,1,0,1
2018-06-22,15:51:53,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1884,2377,1977,2342,0,0,0,0
2018-06-22,15:52:56,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1520,3515,1338,3527,0,600,0,600
2018-06-22,15:52:57,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1520,2667,1338,2656,0,1,0,1
2018-06-22,15:52:58,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1884,2377,1977,2342,0,0,0,0
2018-06-22,15:54:43,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1520,3511,1337,3522,0,600,0,600
2018-06-22,15:54:44,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1520,2663,1337,2651,0,1,0,1
2018-06-22,15:54:45,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1884,2376,1976,2341,0,0,0,0
2018-06-22,15:56:45,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1520,3503,1337,3515,0,600,0,600
2018-06-22,15:56:46,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1519,2657,1337,2646,0,1,0,1
2018-06-22,15:56:47,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1884,2376,1976,2341,0,0,0,0
2018-06-22,15:58:46,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1519,3497,1337,3510,0,600,0,600
2018-06-22,15:58:47,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1519,2651,1337,2641,0,1,0,1
2018-06-22,15:58:48,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1883,2376,1975,2341,0,0,0,0
2018-06-22,16:02:38,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,693,3597,1282,3598,0,600,0,600
2018-06-22,16:02:39,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,693,2686,1282,2672,0,1,0,1
2018-06-22,16:02:40,78:61:7c:34:25:97,OK,11,1,6,1,1,1,1,1,1856,2184,1894,2171,0,0,0,0
2018-06-22,16:05:28,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,689,3579,1279,3580,0,600,0,600
2018-06-22,16:05:29,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,688,2676,1279,2661,0,1,0,1
2018-06-22,16:05:30,78:61:7c:34:25:97,OK,11,1,6,1,1,1,1,1,1843,2184,1890,2170,0,0,0,0
2018-06-22,16:09:57,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,703,3574,1282,3583,0,600,0,600
2018-06-22,16:09:58,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,703,2675,1282,2662,0,1,0,1
2018-06-22,16:09:59,78:61:7c:34:25:97,OK,11,1,6,1,1,1,1,1,1882,2203,1894,2175,0,0,0,0
2018-06-22,16:11:30,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,702,3573,1280,3581,0,600,0,600
2018-06-22,16:11:31,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,701,2672,1280,2658,0,1,0,1
2018-06-22,16:11:32,78:61:7c:34:25:97,OK,11,1,6,1,1,1,1,1,1879,2202,1892,2174,0,0,0,0
2018-06-22,16:17:29,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,700,3578,1278,3585,0,600,0,600
2018-06-22,16:17:30,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,700,2676,1278,2663,0,1,0,1
